"","Site","State","Treatment","Year","runnel_age","totalbirds_mean","totalbirds_se","saltysparrow_mean","saltysparrow_se","totalsparrow_mean","totalsparrow_se"
"79","Potter's Pond","RI","Reference",2021,NA,9.5,4.5,1,1,1,1
"80","Potter's Pond","RI","Reference",2023,NA,11.5,2.5,3,0,3,0
"81","Potter's Pond","RI","Runnel",2021,3,16,2,4,2,4,2
"82","Potter's Pond","RI","Runnel",2023,5,22,2,7.5,0.5,7.5,0.5
"83","Round Marsh","RI","No Action",2023,NA,6.5,0.5,2,2,2,2
"84","Round Marsh","RI","Reference",2021,NA,1,1,0,0,0,0
"85","Round Marsh","RI","Reference",2023,NA,15.5,7.5,7,2,7,2
"86","Round Marsh","RI","Runnel",2021,7,7.5,1.5,0,0,0,0
"87","Round Marsh","RI","Runnel",2023,9,15.5,6.5,8.5,4.5,8.5,4.5
"88","Sapowet","RI","No Action",2022,NA,5,3,2,2,2,2
"89","Sapowet","RI","No Action",2023,NA,4,0,0,0,0,0
"90","Sapowet","RI","Reference",2022,NA,14,5,4.5,4.5,4.5,4.5
"91","Sapowet","RI","Reference",2023,NA,12,3,10,3,10,3
"92","Sapowet","RI","Runnel",2022,0,14,NA,0,NA,0,NA
"93","Sapowet","RI","Runnel",2022,4,20.5,11.5,11,8,11,8
"94","Sapowet","RI","Runnel",2023,1,6.5,0.5,3.5,1.5,3.5,1.5
"95","Sapowet","RI","Runnel",2023,5,22,9,9,1,9,1
"96","Weekapaug Foundation","RI","No Action",2021,NA,9,NA,0,NA,0,NA
"97","Weekapaug Foundation","RI","No Action",2023,NA,11.5,3.5,0,0,0,0
"98","Weekapaug Foundation","RI","Runnel",2021,4,5,NA,0,NA,0,NA
"99","Weekapaug Foundation","RI","Runnel",2023,6,7,2,0,0,0,0
"100","Winnapaug Town Land","RI","No Action",2021,NA,3,NA,0,NA,0,NA
"101","Winnapaug Town Land","RI","No Action",2023,NA,7,1,0,0,0,0
"102","Winnapaug Town Land","RI","Reference",2021,NA,8,NA,0,NA,0,NA
"103","Winnapaug Town Land","RI","Reference",2023,NA,12.5,8.5,1,0,1,0
"104","Winnapaug Town Land","RI","Runnel",2021,8,6,NA,0,NA,0,NA
"105","Winnapaug Town Land","RI","Runnel",2023,10,7,2,0,0,0,0
