"","Treatment","Year","totalbirds.m","totalbirds.se","saltysparrow.m","saltysparrow.se","saltysparrow_percent.m","saltysparrow_percent.se"
"1","No Action",2021,7.8,1.8,0.6,0.3,6,2.4
"2","No Action",2022,7.6,0.9,1.2,0.4,16.2,5.1
"3","No Action",2023,8.2,0.9,1.5,0.5,14.6,4.5
"4","Reference",2021,6.5,1.6,1,0.5,13.3,7.4
"5","Reference",2022,7.9,1.2,1.7,0.5,17.2,5.1
"6","Reference",2023,12.9,1.5,3.9,0.9,28.3,6.3
"7","Runnel",2021,8.8,1.4,1.4,0.5,17.3,4.5
"8","Runnel",2022,10,1.5,1.6,0.9,16.4,5.9
"9","Runnel",2023,12.3,1.2,3.9,0.9,28,5.6
